client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
619,true,109.3,6685982,4975,65.01,""
620,true,113.5,10448929,4970,68.02,""
621,true,98.0,10525626,4975,81.55,""
622,true,113.9,10448929,4965,59.60,""
623,true,63.7,6721844,5013,73.52,""
624,true,101.6,10470026,4980,63.36,""
625,true,76.2,9983043,5011,71.79,""
626,true,101.6,10470026,4969,70.65,""
627,true,103.1,7599910,4985,96.51,""
628,true,57.8,10448929,5007,93.96,""
629,true,78.2,9869301,4986,68.20,""
630,true,44.6,10470026,5031,79.17,""
631,true,64.0,10470026,5017,72.58,""
632,true,42.9,9928338,5019,68.86,""
633,true,63.8,7870143,5020,66.26,""
634,true,64.7,10448929,5023,71.25,""
635,true,89.3,4795105,4989,44.89,""
636,true,89.8,10470026,4992,78.90,""
637,true,61.8,10514465,4998,87.34,""
638,true,90.3,6059508,4989,71.93,""
639,true,62.4,10448929,5012,86.36,""
640,true,42.7,10470026,5044,57.56,""
641,true,117.5,4488509,4962,62.92,""
642,true,117.0,10470026,4962,59.53,""
643,true,111.2,10470026,4963,76.33,""
644,true,89.9,3724405,4948,64.73,""
645,true,111.8,9240710,4975,65.08,""
